species,id,soil_moisture,treatment,date
rhov,20,36,drought,3/17/2022
rhov,15,32,drought,3/17/2022
hear,13,29,drought,3/17/2022
rhov,31,29,drought,3/17/2022
rhov,17,28,drought,3/17/2022
hear,25,22,drought,3/17/2022
rhov,3,32,drought,3/17/2022
rhov,4,32,drought,3/17/2022
rhov,41,37,drought,3/17/2022
ceol,16,24,drought,3/17/2022
hear,22,29,drought,3/17/2022
ceol,13,28,drought,3/17/2022
ceol,14,29,drought,3/17/2022
rhov,10,48,wet,3/17/2022
rhov,50,48,wet,3/17/2022
hear,9,28,wet,3/17/2022
ceol,47,35,wet,3/17/2022
ceol,5,41,wet,3/17/2022
rhov,25,32,wet,3/17/2022
rhov,14,52,wet,3/17/2022
rhov,30,47,wet,3/17/2022
ceol,4,28,wet,3/17/2022
rhov,12,35,wet,3/17/2022
rhov,5,38,wet,3/17/2022
rhov,36,44,wet,3/17/2022
rhov,23,41,wet,3/17/2022
rhov,6,26,wet,3/17/2022
rhov,51,29,wet,3/17/2022
ceol,6,30,wet,3/17/2022
rhov,2,30,wet,3/17/2022
hear,15,26,wet,3/17/2022
rhov,37,39,wet,3/17/2022
rhov,16,39,wet,3/17/2022
rhov,7,50,wet,3/17/2022
rhov,45,37,wet,3/17/2022
rhov,8,41,wet,3/17/2022
rhov,35,45,wet,3/17/2022
ceol,43,37,wet,3/17/2022
rhov,48,52,wet,3/17/2022
ceol,31,41,wet,3/17/2022
rhov,21,47,wet,3/17/2022
ceol,29,28,wet,3/17/2022
rhov,44,38,wet,3/17/2022
hear,20,25,wet,3/17/2022
hear,2,31,wet,3/17/2022
ceol,24,24,wet,3/17/2022
hear,3,41,wet,3/17/2022
hear,21,27,wet,3/17/2022
rhov,9,47,wet,3/17/2022
ceol,18,36,wet,3/17/2022
ceol,28,42,wet,3/17/2022
hear,4,35,wet,3/17/2022
ceol,25,50,wet,3/17/2022
ceol,30,41,wet,3/17/2022
hear,23,41,wet,3/17/2022
ceol,45,47,wet,3/17/2022
ceol,4,26,wet,3/21/2022
rhov,30,42,wet,3/21/2022
rhov,22,42,wet,3/21/2022
ceol,42,33,wet,3/21/2022
ceol,26,27,wet,3/21/2022
rhov,8,39,wet,3/21/2022
rhov,45,33,wet,3/21/2022
ceol,6,24,wet,3/21/2022
ceol,47,34,wet,3/21/2022
ceol,5,32,wet,3/21/2022
rhov,25,29,wet,3/21/2022
rhov,14,41,wet,3/21/2022
rhov,5,36,wet,3/21/2022
rhov,12,29,wet,3/21/2022
rhov,16,31,wet,3/21/2022
ceol,43,29,wet,3/21/2022
rhov,7,48,wet,3/21/2022
rhov,23,32,wet,3/21/2022
rhov,6,24,wet,3/21/2022
rhov,51,25,wet,3/21/2022
rhov,2,27,wet,3/21/2022
hear,23,29,wet,3/21/2022
hear,2,29,wet,3/21/2022
ceol,29,22,wet,3/21/2022
ceol,30,30,wet,3/21/2022
rhov,21,35,wet,3/21/2022
rhov,37,33,wet,3/21/2022
rhov,44,33,wet,3/21/2022
ceol,18,30,wet,3/21/2022
hear,15,26,wet,3/21/2022
rhov,48,44,wet,3/21/2022
hear,20,23,wet,3/21/2022
hear,4,29,wet,3/21/2022
ceol,28,35,wet,3/21/2022
rhov,9,42,wet,3/21/2022
ceol,24,22,wet,3/21/2022
rhov,35,36,wet,3/21/2022
hear,24,32,wet,3/21/2022
rhov,10,43,wet,3/21/2022
hear,9,23,wet,3/21/2022
hear,3,30,wet,3/21/2022
ceol,25,37,wet,3/21/2022
rhov,50,42,wet,3/21/2022
ceol,31,36,wet,3/21/2022
ceol,45,33,wet,3/21/2022
ceol,35,34,wet,3/21/2022
hear,21,26,wet,3/21/2022
rhov,36,41,wet,3/21/2022
ceol,8,23,drought,3/21/2022
ceol,10,20,drought,3/21/2022
ceol,19,21,drought,3/21/2022
ceol,2,25,drought,3/21/2022
rhov,40,22,drought,3/21/2022
rhov,46,23,drought,3/21/2022
ceol,7,19,drought,3/21/2022
rhov,18,26,drought,3/21/2022
rhov,47,24,drought,3/21/2022
rhov,17,26,drought,3/21/2022
rhov,32,25,drought,3/21/2022
rhov,31,26,drought,3/21/2022
rhov,33,24,drought,3/21/2022
rhov,15,30,drought,3/21/2022
rhov,4,30,drought,3/21/2022
rhov,3,28,drought,3/21/2022
ceol,13,27,drought,3/21/2022
rhov,41,30,drought,3/21/2022
ceol,16,21,drought,3/21/2022
ceol,3,17,drought,3/21/2022
rhov,20,32,drought,3/21/2022
hear,25,19,drought,3/21/2022
ceol,14,19,drought,3/21/2022
rhov,19,25,drought,3/21/2022
rhov,28,21,drought,3/21/2022
hear,16,18,drought,3/21/2022
ceol,41,23,drought,3/21/2022
hear,12,26,drought,3/21/2022
ceol,40,25,drought,3/21/2022
rhov,1,32,drought,3/21/2022
hear,22,22,drought,3/21/2022
ceol,15,20,drought,3/21/2022
hear,13,25,drought,3/21/2022
rhov,39,37,drought,3/21/2022
hear,10,19,drought,3/21/2022
ceol,9,20,drought,3/21/2022
ceol,1,22,drought,3/21/2022
rhov,42,30,drought,3/21/2022
rhov,11,25,drought,3/21/2022
rhov,38,33,drought,3/21/2022
ceol,17,22,drought,3/21/2022
ceol,21,21,drought,3/21/2022
hear,18,16,drought,3/21/2022
ceol,12,24,drought,3/21/2022
hear,14,27,drought,3/21/2022
hear,8,23,drought,3/21/2022
hear,6,22,drought,3/21/2022
rhov,27,30,drought,3/21/2022
rhov,34,31,drought,3/21/2022
rhov,24,22,drought,3/21/2022
ceol,20,20,drought,3/21/2022
ceol,42,53,wet,3/22/2022
ceol,19,22,drought,3/22/2022
ceol,3,19,drought,3/22/2022
ceol,30,55,wet,3/22/2022
ceol,26,54,wet,3/22/2022
ceol,35,60,wet,3/22/2022
ceol,9,19,drought,3/22/2022
ceol,2,24,drought,3/22/2022
ceol,15,21,drought,3/22/2022
ceol,24,48,wet,3/22/2022
hear,21,39,wet,3/25/2022
ceol,45,46,wet,3/25/2022
ceol,43,38,wet,3/25/2022
ceol,18,36,wet,3/25/2022
rhov,35,41,wet,3/25/2022
hear,9,26,wet,3/25/2022
ceol,31,41,wet,3/25/2022
rhov,48,48,wet,3/25/2022
ceol,28,43,wet,3/25/2022
rhov,10,43,wet,3/25/2022
rhov,6,31,wet,3/25/2022
rhov,9,48,wet,3/25/2022
hear,24,42,wet,3/25/2022
rhov,36,36,wet,3/25/2022
rhov,12,42,wet,3/25/2022
ceol,1,18,drought,3/25/2022
hear,6,17,drought,3/25/2022
hear,10,16,drought,3/25/2022
rhov,38,27,drought,3/25/2022
hear,8,19,drought,3/25/2022
hear,14,19,drought,3/25/2022
ceol,20,16,drought,3/25/2022
rhov,42,26,drought,3/25/2022
ceol,12,18,drought,3/25/2022
rhov,34,29,drought,3/25/2022
hear,18,15,drought,3/25/2022
rhov,11,21,drought,3/25/2022
ceol,21,17,drought,3/25/2022
ceol,17,16,drought,3/25/2022
rhov,39,27,drought,3/25/2022
ceol,4,33,wet,3/25/2022
rhov,30,38,wet,3/25/2022
rhov,22,47,wet,3/25/2022
rhov,8,46,wet,3/25/2022
rhov,45,43,wet,3/25/2022
ceol,6,32,wet,3/25/2022
ceol,47,40,wet,3/25/2022
ceol,5,36,wet,3/25/2022
rhov,25,36,wet,3/25/2022
rhov,14,45,wet,3/25/2022
rhov,5,46,wet,3/25/2022
hear,20,32,wet,3/25/2022
rhov,16,44,wet,3/25/2022
hear,15,31,wet,3/25/2022
rhov,7,52,wet,3/25/2022
rhov,23,39,wet,3/25/2022
hear,3,35,wet,3/25/2022
rhov,51,30,wet,3/25/2022
rhov,2,35,wet,3/25/2022
hear,23,33,wet,3/25/2022
ceol,29,41,wet,3/25/2022
rhov,44,45,wet,3/25/2022
hear,2,49,wet,3/25/2022
rhov,21,41,wet,3/25/2022
rhov,37,36,wet,3/25/2022
ceol,25,41,wet,3/25/2022
rhov,50,50,wet,3/25/2022
hear,4,46,wet,3/25/2022
hear,22,20,drought,3/25/2022
rhov,27,24,drought,3/25/2022
rhov,32,24,drought,3/25/2022
rhov,40,18,drought,3/25/2022
rhov,46,20,drought,3/25/2022
rhov,15,26,drought,3/25/2022
rhov,4,24,drought,3/25/2022
rhov,3,24,drought,3/25/2022
ceol,13,22,drought,3/25/2022
rhov,41,26,drought,3/25/2022
rhov,24,20,drought,3/25/2022
ceol,10,16,drought,3/25/2022
rhov,47,21,drought,3/25/2022
rhov,33,19,drought,3/25/2022
ceol,7,18,drought,3/25/2022
rhov,18,26,drought,3/25/2022
rhov,31,19,drought,3/25/2022
rhov,20,28,drought,3/25/2022
hear,25,19,drought,3/25/2022
rhov,17,23,drought,3/25/2022
ceol,19,18,drought,3/25/2022
rhov,28,20,drought,3/25/2022
ceol,41,20,drought,3/25/2022
hear,12,22,drought,3/25/2022
ceol,16,20,drought,3/25/2022
hear,16,16,drought,3/25/2022
hear,13,19,drought,3/25/2022
ceol,8,20,drought,3/25/2022
rhov,19,24,drought,3/25/2022
rhov,1,25,drought,3/25/2022
ceol,40,22,drought,3/25/2022
rhov,6,34,wet,3/27/2022
hear,20,30,wet,3/27/2022
rhov,22,49,wet,3/27/2022
hear,21,35,wet,3/27/2022
rhov,36,34,wet,3/27/2022
ceol,47,39,wet,3/27/2022
ceol,18,29,wet,3/27/2022
hear,15,30,wet,3/27/2022
hear,3,31,wet,3/27/2022
rhov,35,37,wet,3/27/2022
hear,9,23,wet,3/27/2022
hear,24,35,wet,3/27/2022
ceol,29,31,wet,3/27/2022
rhov,12,36,wet,3/27/2022
hear,2,42,wet,3/27/2022
hear,22,16,drought,3/27/2022
rhov,27,23,drought,3/27/2022
rhov,32,19,drought,3/27/2022
rhov,40,20,drought,3/27/2022
rhov,46,19,drought,3/27/2022
rhov,41,24,drought,3/27/2022
rhov,24,19,drought,3/27/2022
ceol,10,15,drought,3/27/2022
ceol,7,15,drought,3/27/2022
rhov,33,19,drought,3/27/2022
rhov,47,19,drought,3/27/2022
ceol,13,18,drought,3/27/2022
rhov,3,22,drought,3/27/2022
ceol,4,28,wet,3/27/2022
rhov,30,38,wet,3/27/2022
rhov,50,49,wet,3/27/2022
rhov,48,45,wet,3/27/2022
ceol,31,37,wet,3/27/2022
rhov,8,41,wet,3/27/2022
rhov,45,40,wet,3/27/2022
ceol,6,25,wet,3/27/2022
rhov,44,41,wet,3/27/2022
ceol,5,29,wet,3/27/2022
rhov,25,31,wet,3/27/2022
rhov,14,46,wet,3/27/2022
rhov,5,46,wet,3/27/2022
rhov,10,35,wet,3/27/2022
rhov,16,37,wet,3/27/2022
ceol,35,42,wet,3/27/2022
rhov,7,47,wet,3/27/2022
rhov,23,34,wet,3/27/2022
rhov,9,42,wet,3/27/2022
rhov,51,26,wet,3/27/2022
rhov,2,31,wet,3/27/2022
ceol,43,29,wet,3/27/2022
hear,23,27,wet,3/27/2022
hear,4,41,wet,3/27/2022
ceol,28,43,wet,3/27/2022
ceol,25,38,wet,3/27/2022
rhov,21,38,wet,3/27/2022
rhov,37,32,wet,3/27/2022
rhov,4,21,drought,3/27/2022
rhov,15,23,drought,3/27/2022
rhov,18,22,drought,3/27/2022
rhov,31,22,drought,3/27/2022
rhov,20,28,drought,3/27/2022
hear,25,18,drought,3/27/2022
rhov,17,23,drought,3/27/2022
ceol,14,17,drought,3/27/2022
ceol,41,18,drought,3/27/2022
rhov,34,24,drought,3/27/2022
hear,10,16,drought,3/27/2022
ceol,20,15,drought,3/27/2022
hear,14,19,drought,3/27/2022
hear,6,16,drought,3/27/2022
rhov,11,20,drought,3/27/2022
hear,12,19,drought,3/27/2022
rhov,62,28,drought,3/27/2022
ceol,1,16,drought,3/27/2022
ceol,17,16,drought,3/27/2022
hear,8,14,drought,3/27/2022
rhov,39,24,drought,3/27/2022
ceol,12,20,drought,3/27/2022
ceol,21,17,drought,3/27/2022
rhov,28,18,drought,3/27/2022
hear,13,18,drought,3/27/2022
rhov,1,27,drought,3/27/2022
rhov,19,22,drought,3/27/2022
ceol,8,18,drought,3/27/2022
ceol,40,19,drought,3/27/2022
hear,16,15,drought,3/27/2022
hear,18,15,drought,3/27/2022
rhov,38,26,drought,3/27/2022
ceol,16,17,drought,3/27/2022
ceol,16,17,drought,3/29/2022
hear,16,14,drought,3/29/2022
rhov,27,23,drought,3/29/2022
rhov,18,22,drought,3/29/2022
rhov,32,22,drought,3/29/2022
ceol,8,18,drought,3/29/2022
rhov,24,17,drought,3/29/2022
ceol,41,17,drought,3/29/2022
hear,22,17,drought,3/29/2022
ceol,13,20,drought,3/29/2022
ceol,40,20,drought,3/29/2022
rhov,15,25,drought,3/29/2022
rhov,47,19,drought,3/29/2022
rhov,33,20,drought,3/29/2022
rhov,17,23,drought,3/29/2022
rhov,31,22,drought,3/29/2022
rhov,20,29,drought,3/29/2022
rhov,4,26,drought,3/29/2022
rhov,1,26,drought,3/29/2022
rhov,10,53,wet,3/29/2022
rhov,50,62,wet,3/29/2022
hear,2,48,wet,3/29/2022
rhov,9,55,wet,3/29/2022
rhov,48,57,wet,3/29/2022
hear,3,47,wet,3/29/2022
rhov,44,56,wet,3/29/2022
ceol,5,53,wet,3/29/2022
ceol,45,56,wet,3/29/2022
ceol,4,44,wet,3/29/2022
rhov,30,48,wet,3/29/2022
rhov,8,52,wet,3/29/2022
rhov,45,49,wet,3/29/2022
ceol,6,48,wet,3/29/2022
ceol,43,52,wet,3/29/2022
rhov,25,53,wet,3/29/2022
rhov,14,57,wet,3/29/2022
rhov,5,55,wet,3/29/2022
rhov,16,45,wet,3/29/2022
rhov,37,47,wet,3/29/2022
rhov,6,51,wet,3/29/2022
rhov,7,59,wet,3/29/2022
rhov,23,50,wet,3/29/2022
hear,23,48,wet,3/29/2022
rhov,22,47,wet,3/29/2022
hear,20,41,wet,3/29/2022
rhov,12,53,wet,3/29/2022
rhov,36,47,wet,3/29/2022
rhov,35,51,wet,3/29/2022
rhov,2,44,wet,3/29/2022
ceol,47,55,wet,3/29/2022
rhov,3,24,drought,3/29/2022
rhov,19,22,drought,3/29/2022
rhov,40,21,drought,3/29/2022
ceol,7,16,drought,3/29/2022
rhov,28,18,drought,3/29/2022
hear,12,19,drought,3/29/2022
hear,6,16,drought,3/29/2022
rhov,38,27,drought,3/29/2022
hear,14,20,drought,3/29/2022
hear,8,18,drought,3/29/2022
hear,18,14,drought,3/29/2022
ceol,31,58,wet,3/29/2022
hear,24,50,wet,3/29/2022
hear,15,46,wet,3/29/2022
hear,21,47,wet,3/29/2022
hear,4,49,wet,3/29/2022
ceol,28,60,wet,3/29/2022
ceol,18,50,wet,3/29/2022
ceol,29,55,wet,3/29/2022
ceol,25,58,wet,3/29/2022
rhov,51,36,wet,3/29/2022
hear,9,43,wet,3/29/2022
rhov,21,59,wet,3/29/2022
hear,13,19,drought,3/29/2022
hear,25,16,drought,3/29/2022
rhov,42,25,drought,3/29/2022
ceol,17,17,drought,3/29/2022
ceol,14,17,drought,3/29/2022
rhov,11,21,drought,3/29/2022
rhov,34,26,drought,3/29/2022
rhov,46,19,drought,3/29/2022
ceol,1,17,drought,3/29/2022
ceol,12,20,drought,3/29/2022
hear,10,16,drought,3/29/2022
rhov,39,27,drought,3/29/2022
ceol,21,17,drought,3/29/2022
rhov,41,24,drought,3/29/2022
ceol,10,17,drought,3/29/2022
ceol,20,16,drought,3/29/2022
