species,id,stomatal_conducatance,light_adapted_flourescence,date
ceol,45,0.222,0.4,3/7/2022
ceol,45,0.049,0.34,3/7/2022
ceol,45,0.078,0.29,3/7/2022
ceol,18,0.175,0.25,3/7/2022
ceol,18,0.107,0.21,3/7/2022
ceol,18,0.096,0.23,3/7/2022
ceol,25,0.096,0.21,3/7/2022
ceol,25,0.076,0.15,3/7/2022
ceol,25,0.07,0.28,3/7/2022
hear,15,0.119,0.53,3/7/2022
hear,15,0.091,0.28,3/7/2022
hear,15,0.115,0.26,3/7/2022
hear,3,0.185,0.52,3/7/2022
hear,3,0.192,0.65,3/7/2022
hear,3,0.23,0.44,3/7/2022
hear,4,0.035,0.2,3/7/2022
hear,4,0.027,0.34,3/7/2022
hear,4,0.03,0.23,3/7/2022
hear,24,0.098,0.65,3/7/2022
hear,24,0.099,0.56,3/7/2022
hear,24,0.061,0.42,3/7/2022
hear,21,0.052,0.34,3/7/2022
ceol,20,0.149,0.17,3/7/2022
ceol,12,0.083,0.11,3/7/2022
ceol,12,0.06,0.09,3/7/2022
ceol,12,0.071,0.12,3/7/2022
hear,18,0.099,0.58,3/7/2022
hear,18,0.152,0.36,3/7/2022
hear,18,0.021,0.26,3/7/2022
hear,8,0.404,0.55,3/7/2022
hear,8,0.734,0.53,3/7/2022
hear,8,0.154,0.25,3/7/2022
hear,6,0.082,0.26,3/7/2022
hear,6,0.136,0.46,3/7/2022
hear,6,0.12,0.3,3/7/2022
hear,14,0.021,0.1,3/7/2022
hear,14,0.034,0.12,3/7/2022
hear,14,0.061,0.14,3/7/2022
hear,10,0.062,0.58,3/7/2022
hear,10,0.099,0.66,3/7/2022
hear,10,0.173,0.54,3/7/2022
rhov,11,0.054,0.2,3/7/2022
rhov,11,0.07,0.34,3/7/2022
rhov,11,0.039,0.24,3/7/2022
rhov,39,0.058,0.23,3/7/2022
rhov,39,0.035,0.41,3/7/2022
rhov,39,0.052,0.24,3/7/2022
rhov,42,0.032,0.24,3/7/2022
rhov,42,0.046,0.58,3/7/2022
rhov,42,0.071,0.32,3/7/2022
rhov,34,0.089,0.32,3/7/2022
rhov,34,0.03,0.27,3/7/2022
rhov,34,0.017,0.15,3/7/2022
rhov,38,0.109,0.32,3/7/2022
rhov,38,0.122,0.45,3/7/2022
rhov,38,0.089,0.33,3/7/2022
ceol,41,0.236,0.36,3/7/2022
ceol,41,0.286,0.4,3/7/2022
ceol,41,0.071,0.19,3/7/2022
ceol,13,0.133,0.23,3/7/2022
ceol,13,0.089,0.17,3/7/2022
ceol,13,0.08,0.41,3/7/2022
ceol,2,0.063,0.37,3/7/2022
ceol,2,0.071,0.51,3/7/2022
ceol,2,0.065,0.23,3/7/2022
ceol,16,0.032,0.19,3/7/2022
ceol,16,0.02,0.13,3/7/2022
ceol,16,0.051,0.19,3/7/2022
ceol,40,0.107,0.18,3/7/2022
ceol,40,0.109,0.24,3/7/2022
ceol,40,0.084,0.26,3/7/2022
hear,16,0.139,0.35,3/7/2022
hear,16,0.058,0.23,3/7/2022
hear,16,0.087,0.26,3/7/2022
hear,13,0.118,0.18,3/7/2022
hear,13,0.095,0.21,3/7/2022
hear,13,0.07,0.34,3/7/2022
hear,12,0.173,0.28,3/7/2022
hear,12,0.188,0.25,3/7/2022
hear,12,0.211,0.56,3/7/2022
hear,22,0.076,0.29,3/7/2022
hear,22,0.062,0.26,3/7/2022
hear,22,0.068,0.22,3/7/2022
hear,15,0.041,0.19,3/7/2022
hear,15,0.035,0.26,3/7/2022
hear,15,0.047,0.2,3/7/2022
rhov,31,0.016,0.41,3/7/2022
rhov,31,0.104,0.23,3/7/2022
rhov,31,0.063,0.33,3/7/2022
rhov,41,0.038,0.32,3/7/2022
rhov,41,0.025,0.26,3/7/2022
rhov,41,0.021,0.46,3/7/2022
rhov,15,0.011,0.14,3/7/2022
rhov,15,0.01,0.2,3/7/2022
rhov,15,0.005,0.1,3/7/2022
rhov,20,0.033,0.27,3/7/2022
rhov,20,0.043,0.18,3/7/2022
rhov,20,0.007,0.02,3/7/2022
rhov,28,0.024,0.2,3/7/2022
rhov,28,0.068,0.24,3/7/2022
rhov,28,0.01,0.39,3/7/2022
hear,9,0.054,0.54,3/7/2022
hear,9,0.097,0.18,3/7/2022
hear,9,0.086,0.22,3/7/2022
hear,20,0.146,0.22,3/7/2022
hear,20,0.092,0.48,3/7/2022
hear,20,0.04,0.21,3/7/2022
hear,23,0.08,0.33,3/7/2022
hear,23,0.136,0.45,3/7/2022
hear,23,0.034,0.21,3/7/2022
hear,2,0.038,0.35,3/7/2022
hear,2,0.046,0.36,3/7/2022
hear,2,0.062,0.19,3/7/2022
rhov,30,0.008,0.13,3/7/2022
rhov,30,0.02,0.45,3/7/2022
rhov,30,0.005,0.13,3/7/2022
rhov,25,0.022,0.12,3/7/2022
rhov,25,0.05,0.19,3/7/2022
rhov,25,0.02,0.24,3/7/2022
rhov,6,0.02,0.15,3/7/2022
rhov,6,0.074,0.29,3/7/2022
rhov,6,0.034,0.22,3/7/2022
rhov,5,0.023,0.09,3/7/2022
rhov,5,0.052,0.61,3/7/2022
rhov,5,0.017,0.31,3/7/2022
rhov,21,0.058,0.44,3/7/2022
rhov,21,0.043,0.55,3/7/2022
rhov,21,0.038,0.58,3/7/2022
hear,10,0.157,0.33,3/9/2022
hear,10,0.257,0.37,3/9/2022
hear,10,0.069,0.17,3/9/2022
hear,18,0.021,0.26,3/9/2022
hear,18,0.069,0.33,3/9/2022
hear,18,0.036,0.28,3/9/2022
ceol,5,0.033,0.2,3/9/2022
ceol,5,0.117,0.44,3/9/2022
ceol,5,0.041,0.18,3/9/2022
ceol,43,0.344,0.58,3/9/2022
ceol,43,0.185,0.41,3/9/2022
ceol,43,0.078,0.23,3/9/2022
ceol,42,0.229,0.44,3/9/2022
ceol,42,0.182,0.45,3/9/2022
ceol,42,0.219,0.52,3/9/2022
ceol,24,0.127,0.32,3/9/2022
ceol,24,0.095,0.42,3/9/2022
ceol,24,0.054,0.19,3/9/2022
ceol,47,0.065,0.26,3/9/2022
ceol,47,0.203,0.47,3/9/2022
ceol,47,0.062,0.33,3/9/2022
rhov,30,0.033,0.25,3/9/2022
rhov,30,0.055,0.37,3/9/2022
rhov,30,0.005,0.26,3/9/2022
rhov,36,0.016,0.29,3/9/2022
rhov,36,0.114,0.44,3/9/2022
rhov,36,0.061,0.26,3/9/2022
rhov,8,0.016,0.15,3/9/2022
rhov,8,0.019,0.12,3/9/2022
rhov,8,0.019,0.19,3/9/2022
rhov,22,0.024,0.11,3/9/2022
rhov,22,0.056,0.15,3/9/2022
rhov,22,0.035,0.24,3/9/2022
rhov,16,0.011,0.15,3/9/2022
rhov,16,0.021,0.08,3/9/2022
rhov,16,0.008,0.12,3/9/2022
hear,23,0.207,0.6,3/9/2022
hear,23,0.117,0.39,3/9/2022
hear,23,0.079,0.24,3/9/2022
hear,2,0.07,0.19,3/9/2022
hear,2,0.068,0.19,3/9/2022
hear,2,0.043,0.15,3/9/2022
hear,9,0.179,0.26,3/9/2022
hear,9,0.103,0.32,3/9/2022
hear,9,0.068,0.2,3/9/2022
hear,20,0.062,0.27,3/9/2022
hear,20,0.156,0.26,3/9/2022
hear,20,0.067,0.19,3/9/2022
ceol,13,0.171,0.36,3/9/2022
ceol,13,0.125,0.5,3/9/2022
ceol,13,0.04,0.17,3/9/2022
ceol,7,0.353,0.39,3/9/2022
ceol,7,0.229,0.37,3/9/2022
ceol,7,0.06,0.09,3/9/2022
ceol,2,0.129,0.32,3/9/2022
ceol,2,0.082,0.19,3/9/2022
ceol,17,0.148,0.21,3/9/2022
ceol,12,0.066,0.17,3/9/2022
ceol,12,0.075,0.14,3/9/2022
ceol,12,0.112,0.32,3/9/2022
rhov,11,0.076,0.26,3/9/2022
rhov,11,0.047,0.21,3/9/2022
rhov,11,0.102,0.23,3/9/2022
rhov,42,0.028,0.24,3/9/2022
rhov,42,0.039,0.25,3/9/2022
rhov,42,0.046,0.27,3/9/2022
rhov,39,0.033,0.22,3/9/2022
rhov,39,0.028,0.23,3/9/2022
rhov,39,0.052,0.22,3/9/2022
rhov,34,0.111,0.38,3/9/2022
rhov,34,0.142,0.32,3/9/2022
rhov,34,0.111,0.37,3/9/2022
rhov,38,0.055,0.25,3/9/2022
rhov,38,0.037,0.19,3/9/2022
rhov,38,0.02,0.19,3/9/2022
hear,8,0.169,0.25,3/9/2022
hear,8,0.23,0.38,3/9/2022
hear,8,0.222,0.41,3/9/2022
hear,6,0.145,0.27,3/9/2022
hear,6,0.154,0.41,3/9/2022
hear,6,0.079,0.05,3/9/2022
hear,14,0.055,0.18,3/9/2022
hear,14,0.016,0.25,3/9/2022
hear,14,0.028,0.21,3/9/2022
rhov,44,0.025,0.32,3/9/2022
rhov,44,0.055,0.023,3/9/2022
hear,3,0.153,0.26,3/9/2022
hear,3,0.192,0.4,3/9/2022
hear,3,0.242,0.44,3/9/2022
hear,4,0.051,0.19,3/9/2022
hear,4,0.037,0.35,3/9/2022
hear,4,0.032,0.13,3/9/2022
hear,15,0.124,0.36,3/9/2022
hear,15,0.087,0.15,3/9/2022
hear,15,0.034,0.12,3/9/2022
hear,21,0.041,0.15,3/9/2022
hear,21,0.029,0.15,3/9/2022
hear,21,0.026,0.37,3/9/2022
hear,24,0.077,0.29,3/9/2022
hear,24,0.089,0.31,3/9/2022
hear,24,0.127,0.28,3/9/2022
ceol,21,0.07,0.29,3/9/2022
ceol,21,0.119,0.22,3/9/2022
ceol,21,0.1,0.17,3/9/2022
ceol,20,0.332,0.38,3/9/2022
ceol,20,0.209,0.4,3/9/2022
ceol,20,0.135,0.37,3/9/2022
ceol,1,0.147,0.17,3/9/2022
ceol,1,0.091,0.15,3/9/2022
ceol,1,0.054,0.1,3/9/2022
ceol,17,0.305,0.4,3/9/2022
ceol,17,0.154,0.22,3/9/2022
ceol,31,0.295,0.35,3/9/2022
ceol,31,0.256,0.27,3/9/2022
ceol,31,0.325,0.67,3/9/2022
ceol,28,0.18,0.28,3/9/2022
ceol,28,0.158,0.28,3/9/2022
ceol,28,0.184,0.31,3/9/2022
ceol,45,0.304,0.44,3/9/2022
ceol,45,0.097,0.14,3/9/2022
ceol,45,0.056,0.06,3/9/2022
ceol,18,0.246,0.32,3/9/2022
ceol,18,0.139,0.23,3/9/2022
ceol,18,0.136,0.21,3/9/2022
ceol,25,0.156,0.27,3/9/2022
ceol,25,0.156,0.33,3/9/2022
ceol,25,0.115,0.17,3/9/2022
rhov,48,0.034,0.25,3/9/2022
rhov,48,0.034,0.27,3/9/2022
rhov,48,0.036,0.2,3/9/2022
rhov,10,0.051,0.29,3/9/2022
rhov,10,0.018,0.28,3/9/2022
rhov,10,0.037,0.5,3/9/2022
rhov,9,0.048,0.17,3/9/2022
rhov,9,0.052,0.15,3/9/2022
rhov,9,0.079,0.55,3/9/2022
rhov,56,0.056,0.29,3/9/2022
rhov,56,0.066,0.26,3/9/2022
rhov,56,0.045,0.26,3/9/2022
rhov,44,0.045,0.22,3/9/2022
ceol,2,0.081,0.18,3/9/2022
ceol,15,0.038,0.24,3/9/2022
ceol,15,0.011,0.11,3/9/2022
ceol,15,0.048,0.12,3/9/2022
ceol,16,0.039,0.41,3/9/2022
ceol,16,0.03,0.16,3/9/2022
ceol,16,0.024,0.14,3/9/2022
rhov,24,0.006,0.16,3/9/2022
rhov,24,0.038,0.28,3/9/2022
rhov,24,0.046,0.15,3/9/2022
rhov,18,0.049,0.33,3/9/2022
rhov,18,0.031,0.12,3/9/2022
rhov,18,0.023,0.16,3/9/2022
rhov,31,0.093,0.3,3/9/2022
rhov,31,0.101,0.24,3/9/2022
rhov,31,0.049,0.14,3/9/2022
rhov,41,0.018,0.26,3/9/2022
rhov,41,0.007,0.22,3/9/2022
rhov,41,0.013,0.36,3/9/2022
rhov,1,0.038,0.2,3/9/2022
rhov,1,0.024,0.22,3/9/2022
rhov,1,0.041,0.47,3/9/2022
hear,25,0.064,0.26,3/9/2022
hear,25,0.05,0.28,3/9/2022
hear,25,0.032,0.28,3/9/2022
hear,16,0.161,0.4,3/9/2022
hear,16,0.095,0.38,3/9/2022
hear,16,0.133,0.31,3/9/2022
hear,13,0.121,0.23,3/9/2022
hear,13,0.164,0.32,3/9/2022
hear,13,0.079,0.29,3/9/2022
hear,22,0.123,0.48,3/9/2022
hear,22,0.13,0.41,3/9/2022
hear,22,0.072,0.27,3/9/2022
hear,12,0.069,0.25,3/9/2022
hear,12,0.274,0.47,3/9/2022
hear,12,0.219,0.52,3/9/2022
hear,16,0.149,0.59,3/11/2022
hear,16,0.116,0.62,3/11/2022
hear,16,0.087,0.68,3/11/2022
hear,12,0.185,0.67,3/11/2022
hear,12,0.102,0.54,3/11/2022
hear,12,0.13,0.32,3/11/2022
ceol,20,0.136,0.23,3/11/2022
ceol,20,0.226,0.58,3/11/2022
ceol,20,0.191,0.39,3/11/2022
ceol,1,0.053,0.26,3/11/2022
ceol,1,0.065,0.11,3/11/2022
ceol,1,0.087,0.2,3/11/2022
ceol,17,0.076,0.19,3/11/2022
ceol,17,0.102,0.15,3/11/2022
ceol,17,0.123,0.24,3/11/2022
ceol,21,0.104,0.21,3/11/2022
ceol,21,0.077,0.31,3/11/2022
ceol,21,0.111,0.19,3/11/2022
ceol,12,0.077,0.14,3/11/2022
ceol,12,0.06,0.12,3/11/2022
ceol,12,0.094,0.17,3/11/2022
ceol,13,0.025,0.14,3/11/2022
ceol,13,0.1,0.4,3/11/2022
ceol,13,0.118,0.2,3/11/2022
ceol,16,0.067,0.25,3/11/2022
ceol,16,0.043,0.49,3/11/2022
ceol,16,0.037,0.28,3/11/2022
ceol,14,0.075,0.29,3/11/2022
rhov,32,0.053,0.19,3/11/2022
rhov,28,0.021,0.16,3/11/2022
rhov,28,0.041,0.21,3/11/2022
rhov,28,0.071,0.2,3/11/2022
hear,14,0.022,0.2,3/11/2022
hear,14,0.042,0.14,3/11/2022
hear,14,0.042,0.43,3/11/2022
hear,6,0.116,0.68,3/11/2022
hear,6,0.129,0.68,3/11/2022
hear,6,0.055,0.71,3/11/2022
hear,8,0.098,0.53,3/11/2022
hear,8,0.13,0.46,3/11/2022
hear,8,0.131,0.42,3/11/2022
hear,10,0.111,0.39,3/11/2022
hear,10,0.116,0.29,3/11/2022
hear,10,0.111,0.52,3/11/2022
hear,18,0.123,0.6,3/11/2022
hear,18,0.092,0.26,3/11/2022
hear,18,0.036,0.15,3/11/2022
hear,13,0.134,0.67,3/11/2022
hear,13,0.071,0.5,3/11/2022
hear,13,0.114,0.62,3/11/2022
hear,25,0.029,0.12,3/11/2022
hear,25,0.069,0.29,3/11/2022
hear,25,0.046,0.52,3/11/2022
hear,22,0.136,0.41,3/11/2022
hear,22,0.112,0.4,3/11/2022
hear,22,0.126,0.56,3/11/2022
ceol,14,0.1,0.69,3/11/2022
ceol,14,0.089,0.31,3/11/2022
ceol,40,0.142,0.33,3/11/2022
ceol,40,0.134,0.3,3/11/2022
ceol,40,0.163,0.29,3/11/2022
ceol,41,0.196,0.33,3/11/2022
ceol,41,0.213,0.32,3/11/2022
ceol,41,0.194,0.37,3/11/2022
rhov,44,0.028,0.48,3/11/2022
rhov,44,0.04,0.26,3/11/2022
rhov,44,0.016,0.28,3/11/2022
rhov,9,0.074,0.23,3/11/2022
rhov,9,0.055,0.18,3/11/2022
rhov,9,0.108,0.24,3/11/2022
rhov,48,0.05,0.46,3/11/2022
rhov,48,0.051,0.34,3/11/2022
rhov,48,0.052,0.31,3/11/2022
rhov,10,0.06,0.29,3/11/2022
rhov,10,0.033,0.55,3/11/2022
rhov,10,0.01,0.19,3/11/2022
rhov,50,0.055,0.21,3/11/2022
rhov,50,0.033,0.24,3/11/2022
rhov,50,0.065,0.21,3/11/2022
rhov,22,0.035,0.14,3/11/2022
rhov,22,0.069,0.16,3/11/2022
rhov,22,0.061,0.18,3/11/2022
rhov,2,0.043,0.16,3/11/2022
rhov,2,0.073,0.19,3/11/2022
rhov,2,0.034,0.17,3/11/2022
rhov,45,0.043,0.32,3/11/2022
rhov,45,0.043,0.26,3/11/2022
rhov,45,0.027,0.12,3/11/2022
rhov,12,0.033,0.35,3/11/2022
rhov,12,0.053,0.16,3/11/2022
rhov,12,0.029,0.12,3/11/2022
rhov,30,0.012,0.14,3/11/2022
rhov,30,0.054,0.19,3/11/2022
rhov,30,0.034,0.16,3/11/2022
rhov,39,0.041,0.27,3/11/2022
rhov,39,0.048,0.31,3/11/2022
rhov,39,0.041,0.35,3/11/2022
rhov,11,0.088,0.17,3/11/2022
rhov,11,0.025,0.24,3/11/2022
rhov,11,0.05,0.16,3/11/2022
rhov,42,0.073,0.26,3/11/2022
rhov,42,0.036,0.28,3/11/2022
rhov,42,0.053,0.27,3/11/2022
rhov,38,0.011,0.32,3/11/2022
rhov,38,0.093,0.29,3/11/2022
rhov,38,0.079,0.3,3/11/2022
rhov,34,0.107,0.63,3/11/2022
rhov,34,0.089,0.28,3/11/2022
rhov,34,0.138,0.29,3/11/2022
rhov,31,0.079,0.14,3/11/2022
rhov,31,0.074,0.22,3/11/2022
rhov,31,0.093,0.17,3/11/2022
rhov,24,0.049,0.22,3/11/2022
rhov,24,0.051,0.24,3/11/2022
rhov,24,0.046,0.19,3/11/2022
rhov,41,0.026,0.22,3/11/2022
rhov,41,0.03,0.2,3/11/2022
rhov,41,0.019,0.21,3/11/2022
rhov,32,0.061,0.23,3/11/2022
rhov,32,0.073,0.27,3/11/2022
ceol,42,0.216,0.37,3/11/2022
hear,3,0.221,0.71,3/11/2022
hear,3,0.174,0.45,3/11/2022
hear,3,0.233,0.35,3/11/2022
hear,21,0.048,0.15,3/11/2022
hear,21,0.031,0.13,3/11/2022
hear,21,0.028,0.14,3/11/2022
hear,24,0.126,0.28,3/11/2022
hear,24,0.095,0.2,3/11/2022
hear,24,0.136,0.57,3/11/2022
hear,15,0.121,0.22,3/11/2022
hear,15,0.084,0.38,3/11/2022
hear,15,0.087,0.46,3/11/2022
hear,4,0.045,0.2,3/11/2022
hear,4,0.045,0.19,3/11/2022
hear,4,0.045,0.29,3/11/2022
hear,2,0.078,0.44,3/11/2022
hear,2,0.095,0.23,3/11/2022
hear,2,0.057,0.28,3/11/2022
hear,9,0.182,0.35,3/11/2022
hear,9,0.132,0.53,3/11/2022
hear,9,0.121,0.25,3/11/2022
hear,23,0.156,0.6,3/11/2022
hear,23,0.163,0.4,3/11/2022
hear,23,0.139,0.36,3/11/2022
hear,20,0.122,0.59,3/11/2022
hear,20,0.083,0.66,3/11/2022
hear,20,0.044,0.33,3/11/2022
ceol,25,0.099,0.14,3/11/2022
ceol,25,0.403,0.17,3/11/2022
ceol,25,0.346,0.14,3/11/2022
ceol,31,0.423,0.14,3/11/2022
ceol,31,0.373,0.23,3/11/2022
ceol,31,0.49,0.23,3/11/2022
ceol,18,0.172,0.12,3/11/2022
ceol,18,0.239,0.2,3/11/2022
ceol,18,0.247,0.23,3/11/2022
ceol,28,0.36,0.51,3/11/2022
ceol,28,0.414,0.4,3/11/2022
ceol,28,0.203,0.28,3/11/2022
ceol,45,0.312,0.33,3/11/2022
ceol,45,0.333,0.23,3/11/2022
ceol,45,0.4,0.23,3/11/2022
ceol,43,0.132,0.24,3/11/2022
ceol,43,0.365,0.49,3/11/2022
ceol,43,0.262,0.6,3/11/2022
ceol,30,0.079,0.18,3/11/2022
ceol,30,0.332,0.36,3/11/2022
ceol,30,0.215,0.29,3/11/2022
ceol,35,0.252,0.38,3/11/2022
ceol,35,0.214,0.32,3/11/2022
ceol,6,0.085,0.24,3/11/2022
ceol,6,0.105,0.19,3/11/2022
ceol,6,0.233,0.23,3/11/2022
ceol,42,0.13,0.27,3/11/2022
ceol,42,0.147,0.43,3/11/2022
hear,13,0.188,0.21,3/13/2022
hear,13,0.185,0.23,3/13/2022
ceol,29,0.307,0.42,3/13/2022
ceol,29,0.148,0.28,3/13/2022
ceol,29,0.262,0.27,3/13/2022
ceol,24,0.112,0.17,3/13/2022
ceol,24,0.085,0.17,3/13/2022
ceol,24,0.109,0.19,3/13/2022
ceol,19,0.192,0.21,3/13/2022
ceol,19,0.137,0.27,3/13/2022
ceol,19,0.274,0.13,3/13/2022
ceol,2,0.136,0.14,3/13/2022
ceol,2,0.112,0.14,3/13/2022
ceol,2,0.068,0.12,3/13/2022
hear,3,0.102,0.17,3/13/2022
hear,3,0.331,0.24,3/13/2022
hear,3,0.304,0.35,3/13/2022
hear,4,0.054,0.15,3/13/2022
hear,4,0.057,0.2,3/13/2022
hear,4,0.083,0.15,3/13/2022
rhov,35,0.055,0.29,3/13/2022
rhov,35,0.035,0.3,3/13/2022
rhov,35,0.05,0.26,3/13/2022
rhov,35,0.083,0.34,3/13/2022
rhov,35,0.03,0.27,3/13/2022
rhov,35,0.055,0.2,3/13/2022
rhov,17,0.064,0.08,3/13/2022
rhov,17,0.045,0.01,3/13/2022
rhov,17,0.036,0.03,3/13/2022
rhov,14,0.091,0.2,3/13/2022
rhov,14,0.098,0.18,3/13/2022
rhov,14,0.098,0.26,3/13/2022
hear,20,0.055,0.21,3/13/2022
hear,20,0.128,0.21,3/13/2022
hear,20,0.182,0.44,3/13/2022
hear,2,0.071,0.17,3/13/2022
hear,2,0.088,0.15,3/13/2022
hear,2,0.064,0.17,3/13/2022
hear,22,0.181,0.15,3/13/2022
hear,22,0.229,0.2,3/13/2022
hear,22,0.085,0.15,3/13/2022
hear,13,0.094,0.11,3/13/2022
ceol,45,0.081,0.12,3/13/2022
ceol,25,0.099,0.1,3/13/2022
ceol,25,0.186,0.13,3/13/2022
ceol,25,0.077,0.11,3/13/2022
rhov,56,0.147,0.15,3/13/2022
rhov,56,0.093,0.16,3/13/2022
rhov,56,0.072,0.12,3/13/2022
rhov,48,0.05,0.35,3/13/2022
rhov,48,0.045,0.17,3/13/2022
rhov,48,0.1,0.19,3/13/2022
rhov,10,0.041,0.21,3/13/2022
rhov,10,0.073,0.35,3/13/2022
rhov,10,0.043,0.18,3/13/2022
rhov,44,0.034,0.24,3/13/2022
rhov,44,0.04,0.21,3/13/2022
rhov,44,0.086,0.28,3/13/2022
rhov,9,0.074,0.46,3/13/2022
rhov,9,0.092,0.19,3/13/2022
rhov,9,0.102,0.18,3/13/2022
hear,24,0.123,0.37,3/13/2022
hear,24,0.204,0.32,3/13/2022
hear,24,0.181,0.57,3/13/2022
hear,15,0.241,0.17,3/13/2022
hear,15,0.215,0.19,3/13/2022
hear,15,0.113,0.22,3/13/2022
hear,21,0.057,0.15,3/13/2022
hear,21,0.052,0.13,3/13/2022
hear,21,0.025,0.1,3/13/2022
ceol,17,0.16,0.59,3/13/2022
ceol,17,0.179,0.34,3/13/2022
ceol,17,0.125,,3/13/2022
ceol,12,0.076,0.13,3/13/2022
ceol,12,0.085,0.11,3/13/2022
ceol,12,0.107,0.12,3/13/2022
ceol,21,0.099,0.23,3/13/2022
ceol,21,0.107,0.152,3/13/2022
ceol,21,0.12,0.12,3/13/2022
ceol,20,0.124,0.16,3/13/2022
ceol,20,0.177,0.17,3/13/2022
ceol,20,0.13,0.17,3/13/2022
ceol,1,0.249,0.43,3/13/2022
ceol,1,0.131,0.27,3/13/2022
ceol,1,0.103,0.17,3/13/2022
rhov,34,0.16,0.19,3/13/2022
rhov,34,0.15,0.27,3/13/2022
rhov,34,0.097,0.25,3/13/2022
rhov,12,0.035,0.19,3/13/2022
rhov,12,0.051,0.15,3/13/2022
rhov,12,0.055,0.21,3/13/2022
rhov,39,0.056,0.22,3/13/2022
rhov,39,0.058,0.24,3/13/2022
rhov,39,0.039,0.42,3/13/2022
rhov,38,0.106,0.28,3/13/2022
rhov,38,0.092,0.28,3/13/2022
rhov,38,0.083,0.19,3/13/2022
rhov,11,0.062,0.22,3/13/2022
rhov,11,0.102,0.26,3/13/2022
rhov,11,0.057,0.17,3/13/2022
hear,14,0.072,0.15,3/13/2022
hear,14,0.026,0.11,3/13/2022
hear,14,0.029,0.12,3/13/2022
hear,10,0.305,0.21,3/13/2022
hear,10,0.228,0.24,3/13/2022
hear,10,0.128,0.16,3/13/2022
hear,6,0.184,0.25,3/13/2022
hear,6,0.262,0.32,3/13/2022
hear,6,0.074,0.19,3/13/2022
hear,8,0.417,0.17,3/13/2022
hear,8,0.419,0.21,3/13/2022
hear,8,0.137,0.3,3/13/2022
hear,18,0.151,0.17,3/13/2022
hear,18,0.113,0.24,3/13/2022
hear,18,0.152,0.18,3/13/2022
ceol,31,0.723,0.42,3/13/2022
ceol,31,0.32,0.17,3/13/2022
ceol,31,0.371,0.19,3/13/2022
ceol,18,0.287,0.24,3/13/2022
ceol,18,0.279,0.21,3/13/2022
ceol,18,0.122,0.19,3/13/2022
ceol,28,0.583,0.34,3/13/2022
ceol,28,0.252,0.19,3/13/2022
ceol,28,0.289,0.24,3/13/2022
ceol,45,0.465,0.23,3/13/2022
ceol,45,0.374,0.22,3/13/2022
hear,2,0.123,0.46,3/15/2022
hear,2,0.118,0.42,3/15/2022
hear,2,0.064,0.3,3/15/2022
hear,3,0.142,0.47,3/15/2022
hear,3,0.218,0.57,3/15/2022
hear,3,0.288,0.48,3/15/2022
hear,20,0.046,0.42,3/15/2022
hear,20,0.086,0.46,3/15/2022
hear,20,0.058,0.53,3/15/2022
hear,24,0.107,0.49,3/15/2022
hear,24,0.107,0.58,3/15/2022
hear,24,0.12,0.5,3/15/2022
hear,4,0.044,0.28,3/15/2022
hear,4,0.039,0.32,3/15/2022
hear,4,0.036,0.27,3/15/2022
hear,21,0.034,0.35,3/15/2022
hear,21,0.024,0.28,3/15/2022
hear,21,0.018,0.23,3/15/2022
ceol,29,0.18,0.54,3/15/2022
