"","year","plot_number","quad_rep","nn_grassheight_cm","MAFA_removal","exo_coverpercent","site","MAFA_coverpercent"
"129","2018","26","4",15.3,"half",39.75,"2",11
"130","2018","26","5",12.8,"half",39.75,"2",11
"131","2018","27","1",29.5,"full",58.5,"2",2.25
"132","2018","27","2",26,"full",58.5,"2",2.25
"133","2018","27","3",37.6,"full",58.5,"2",2.25
"134","2018","27","4",28.1,"full",58.5,"2",2.25
"135","2018","27","5",24,"full",58.5,"2",2.25
"136","2018","28","1",25.9,"half",44.1,"2",0
"137","2018","28","2",25.6,"half",44.1,"2",0
"138","2018","28","3",22.1,"half",44.1,"2",0
"139","2018","28","4",18,"half",44.1,"2",0
"140","2018","28","5",20.8,"half",44.1,"2",0
"141","2018","29","1",10.6,"none",38.75,"2",13.5
"142","2018","29","2",16.2,"none",38.75,"2",13.5
"143","2018","29","3",21,"none",38.75,"2",13.5
"144","2018","29","4",19,"none",38.75,"2",13.5
"145","2018","29","5",26.8,"none",38.75,"2",13.5
"146","2018","30","1",27.4,"full",28.13,"2",11
"147","2018","30","2",23,"full",28.13,"2",11
"148","2018","30","3",17.5,"full",28.13,"2",11
"149","2018","30","4",21.9,"full",28.13,"2",11
"150","2018","30","5",17,"full",28.13,"2",11
"151","2018","31","1",27.2,"none",18.1,"2",12
"152","2018","31","2",17.6,"none",18.1,"2",12
"153","2018","31","3",40,"none",18.1,"2",12
"154","2018","31","4",33.5,"none",18.1,"2",12
"155","2018","31","5",34.3,"none",18.1,"2",12
"156","2018","32","1",9.8,"half",9.5,"2",7
"157","2018","32","2",11.5,"half",9.5,"2",7
"158","2018","32","3",11.4,"half",9.5,"2",7
"159","2018","32","4",20.5,"half",9.5,"2",7
"160","2018","32","5",19.3,"half",9.5,"2",7
"161","2018","33","1",29,"full",64.2,"2",0
"162","2018","33","2",20.5,"full",64.2,"2",0
"163","2018","33","3",21,"full",64.2,"2",0
"164","2018","33","4",16.1,"full",64.2,"2",0
"165","2018","33","5",25.1,"full",64.2,"2",0
"166","2018","34","1",24.5,"half",18.5,"2",4.75
"167","2018","34","2",32.9,"half",18.5,"2",4.75
"168","2018","34","3",32.4,"half",18.5,"2",4.75
"169","2018","34","4",12.4,"half",18.5,"2",4.75
"170","2018","34","5",11.6,"half",18.5,"2",4.75
"171","2018","35","1",11.2,"full",31.1,"2",2.5
"172","2018","35","2",18.3,"full",31.1,"2",2.5
"173","2018","35","3",15.1,"full",31.1,"2",2.5
"174","2018","35","4",22.8,"full",31.1,"2",2.5
"175","2018","35","5",22.5,"full",31.1,"2",2.5
"176","2018","36","1",27.2,"none",47.6,"2",6
"177","2018","36","2",40.5,"none",47.6,"2",6
"178","2018","36","3",25.2,"none",47.6,"2",6
"179","2018","36","4",29.4,"none",47.6,"2",6
"180","2018","36","5",23.3,"none",47.6,"2",6
