"","year","site","plot_number","treatment","species","1","2","5","12","initial"
"50",2018,1,13,"full ","HEAR",6,6,2,0,6
"51",2018,1,13,"full ","RHOV",4,4,1,0,4
"52",2018,1,13,"full ","SAAP",4,1,1,0,4
"53",2018,1,14,"none","CEOL",4,3,1,0,4
"54",2018,1,14,"none","HEAR",6,6,1,0,6
"55",2018,1,14,"none","RHOV",4,4,0,0,4
"56",2018,1,14,"none","SAAP",4,4,1,0,4
"57",2018,1,15,"half ","CEOL",4,3,3,0,4
"58",2018,1,15,"half ","HEAR",6,6,0,0,6
"59",2018,1,15,"half ","RHOV",4,4,1,0,4
"60",2018,1,15,"half ","SAAP",4,2,0,0,4
"61",2018,1,16,"full ","CEOL",4,4,2,0,4
"62",2018,1,16,"full ","HEAR",6,6,1,0,6
"63",2018,1,16,"full ","RHOV",4,3,1,0,4
"64",2018,1,16,"full ","SAAP",4,4,1,0,4
"65",2018,1,17,"half ","CEOL",4,3,1,0,4
"66",2018,1,17,"half ","HEAR",6,6,2,0,6
"67",2018,1,17,"half ","RHOV",4,4,0,0,4
"68",2018,1,17,"half ","SAAP",4,2,1,0,4
"69",2018,1,18,"none","CEOL",4,1,1,0,4
"70",2018,1,18,"none","HEAR",6,5,1,0,6
"71",2018,1,18,"none","RHOV",4,3,0,0,4
"72",2018,1,18,"none","SAAP",4,3,0,0,4
"73",2018,2,19,"full ","CEOL",4,4,0,0,4
"74",2018,2,19,"full ","HEAR",6,2,2,0,6
"75",2018,2,19,"full ","RHOV",4,3,1,0,4
"76",2018,2,19,"full ","SAAP",4,0,0,0,4
"77",2018,2,20,"none","CEOL",4,1,0,0,4
"78",2018,2,20,"none","HEAR",6,6,3,0,6
"79",2018,2,20,"none","RHOV",4,2,1,0,4
"80",2018,2,20,"none","SAAP",4,0,0,0,4
"81",2018,2,21,"half ","CEOL",4,2,0,0,4
"82",2018,2,21,"half ","HEAR",6,6,4,0,6
"83",2018,2,21,"half ","RHOV",4,4,2,0,4
"84",2018,2,21,"half ","SAAP",4,1,0,0,4
"85",2018,2,22,"full ","CEOL",4,1,0,0,4
"86",2018,2,22,"full ","HEAR",6,6,5,0,6
"87",2018,2,22,"full ","RHOV",4,4,2,0,4
"88",2018,2,22,"full ","SAAP",4,2,0,0,4
"89",2018,2,23,"half ","CEOL",4,3,1,0,4
"90",2018,2,23,"half ","HEAR",6,5,5,0,6
"91",2018,2,23,"half ","RHOV",4,4,0,0,4
"92",2018,2,23,"half ","SAAP",4,2,0,0,4
"93",2018,2,24,"none","CEOL",4,0,0,0,4
"94",2018,2,24,"none","HEAR",6,5,3,0,6
"95",2018,2,24,"none","RHOV",4,2,1,0,4
"96",2018,2,24,"none","SAAP",1,3,0,0,1
"97",2018,2,24,"none","SAAP",3,3,0,0,1
"98",2018,2,24,"none","SAAP",1,3,0,0,3
"99",2018,2,24,"none","SAAP",3,3,0,0,3
"100",2018,2,25,"none","CEOL",4,4,0,0,4
"101",2018,2,25,"none","HEAR",6,5,5,0,6
"102",2018,2,25,"none","RHOV",4,2,0,0,4
"103",2018,2,25,"none","SAAP",4,0,0,0,4
"104",2018,2,26,"half ","CEOL",4,4,1,0,4
"105",2018,2,26,"half ","HEAR",6,6,1,0,6
"106",2018,2,26,"half ","RHOV",4,4,1,0,4
"107",2018,2,26,"half ","SAAP",3,1,0,0,3
"108",2018,2,27,"full ","CEOL",4,3,0,0,4
"109",2018,2,27,"full ","HEAR",6,4,3,0,6
"110",2018,2,27,"full ","RHOV",4,4,0,0,4
"111",2018,2,27,"full ","SAAP",4,2,1,0,4
"112",2018,2,28,"half ","CEOL",4,2,0,0,4
"113",2018,2,28,"half ","HEAR",6,4,1,0,6
"114",2018,2,28,"half ","RHOV",4,2,0,0,4
"115",2018,2,28,"half ","SAAP",4,0,0,0,4
"116",2018,2,29,"none","CEOL",4,0,0,0,4
"117",2018,2,29,"none","HEAR",6,6,0,0,6
"118",2018,2,29,"none","RHOV",4,2,0,0,4
"119",2018,2,29,"none","SAAP",4,2,0,0,4
"120",2018,2,30,"full ","CEOL",4,3,1,0,4
"121",2018,2,30,"full ","HEAR",6,6,0,0,6
"122",2018,2,30,"full ","RHOV",4,3,0,0,4
"123",2018,2,30,"full ","SAAP",4,1,0,0,4
"124",2018,2,31,"none","CEOL",4,3,0,0,4
"125",2018,2,31,"none","HEAR",6,5,2,0,6
"126",2018,2,31,"none","RHOV",4,3,1,0,4
"127",2018,2,31,"none","SAAP",4,0,0,0,4
"128",2018,2,32,"half ","CEOL",4,1,0,0,4
"129",2018,2,32,"half ","HEAR",6,4,3,0,6
"130",2018,2,32,"half ","RHOV",4,1,1,0,4
"131",2018,2,32,"half ","SAAP",4,0,0,0,4
"132",2018,2,33,"full ","CEOL",4,4,3,0,4
"133",2018,2,33,"full ","HEAR",6,5,1,0,6
"134",2018,2,33,"full ","RHOV",4,3,1,0,4
"135",2018,2,33,"full ","SAAP",4,4,1,0,4
"136",2018,2,34,"half ","CEOL",4,3,1,0,4
"137",2018,2,34,"half ","HEAR",6,6,2,0,6
"138",2018,2,34,"half ","RHOV",4,3,1,0,4
"139",2018,2,34,"half ","SAAP",4,1,0,0,4
"140",2018,2,35,"full ","CEOL",4,3,1,0,4
"141",2018,2,35,"full ","HEAR",6,3,5,0,6
"142",2018,2,35,"full ","RHOV",4,1,0,0,4
"143",2018,2,35,"full ","SAAP",4,0,0,0,4
"144",2018,2,36,"none","CEOL",4,3,0,0,4
"145",2018,2,36,"none","HEAR",6,6,3,0,6
"146",2018,2,36,"none","RHOV",4,3,0,0,4
"147",2018,2,36,"none","SAAP",3,0,0,0,3
