date,time,weather,plot,treatment,weeding,reading,TDR-value,notes,average
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH14,,no removal,2,23.6,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH14,,no removal,3,19.5,,22.3
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH15,,half removal,1,23.6,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH15,,half removal,2,26.8,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH15,,half removal,3,24.4,,24.9
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH16,,full removal,1,28,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH16,,full removal,2,24.1,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH16,,full removal,3,27.1,,26.4
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH17,,half removal,1,25.7,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH17,,half removal,2,23.1,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH17,,half removal,3,25.6,,24.8
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH18,,no removal,1,17.9,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH18,,no removal,2,25.8,,
24-Mar-19,10:40 am - 11:30 am,"sunny and warm, no breeze",ENH18,,no removal,3,18.6,,20.8
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH19,,full removal,1,13.1,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH19,,full removal,2,14.2,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH19,,full removal,3,13.8,,13.7
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH20,,no removal,1,10.8,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH20,,no removal,2,14.3,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH20,,no removal,3,11.4,,12.2
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH21,,half removal,1,15.7,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH21,,half removal,2,20.3,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH21,,half removal,3,18.3,,18.1
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH22,,full removal,1,19.3,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH22,,full removal,2,21.5,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH22,,full removal,3,15.4,,18.7
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH23,,half removal,1,20.9,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH23,,half removal,2,16.8,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH23,,half removal,3,23.9,,20.5
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH24,,no removal,1,16,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH24,,no removal,2,15.3,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH24,,no removal,3,18.1,,16.5
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH25,,no removal,1,14.7,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH25,,no removal,2,16.5,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH25,,no removal,3,13.7,,15
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH26,,half removal,1,14,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH26,,half removal,2,14.9,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH26,,half removal,3,17.1,,15.3
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH27,,full removal,1,20.3,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH27,,full removal,2,21.4,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH27,,full removal,3,22.9,,21.5
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH28,,half removal,1,14.5,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH28,,half removal,2,13.4,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH28,,half removal,3,15,,14.3
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH29,,no removal,1,19.3,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH29,,no removal,2,10.6,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH29,,no removal,3,9.7,,13.2
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH30,,full removal,1,13.4,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH30,,full removal,2,14.2,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH30,,full removal,3,14.9,,14.2
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH31,,no removal,1,14.9,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH31,,no removal,2,9.9,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH31,,no removal,3,14.5,,13.1
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH32,,half removal,1,14.4,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH32,,half removal,2,15.8,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH32,,half removal,3,12.6,,14.3
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH33,,full removal,1,15.6,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH33,,full removal,2,14.7,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH33,,full removal,3,15,,15.1
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH34,,half removal,1,19,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH34,,half removal,2,15.1,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH34,,half removal,3,12.2,,15.4
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH35,,full removal,1,20.2,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH35,,full removal,2,14,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH35,,full removal,3,20.2,,18.1
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH36,,no removal,1,15.2,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH36,,no removal,2,15.3,,
24-Mar-19,12:40 pm - 1:30 pm,"sunny and warm, no breeze",ENH36,,no removal,3,14.6,,15
12-Dec-18,,,ENH01,,no removal,1,13.4,"15 cm probes, Gabe on TDR, Stephanie on seedling survival",
12-Dec-18,,,ENH01,,no removal,2,19.9,,
12-Dec-18,,,ENH01,,no removal,3,17.1,,16.8
12-Dec-18,,,ENH02,,full removal,1,28.6,,
12-Dec-18,,,ENH02,,full removal,2,24.5,,
12-Dec-18,,,ENH02,,full removal,3,23.5,,25.5
12-Dec-18,,,ENH03,,full removal,1,25.2,,
12-Dec-18,,,ENH03,,full removal,2,27.9,,
12-Dec-18,,,ENH03,,full removal,3,25.9,,26.3
12-Dec-18,,,ENH04,,half removal,1,21.4,,
12-Dec-18,,,ENH04,,half removal,2,17.8,,
12-Dec-18,,,ENH04,,half removal,3,19.1,,19.4
12-Dec-18,,,ENH05,,half removal,1,20.1,,
12-Dec-18,,,ENH05,,half removal,2,24.1,,
12-Dec-18,,,ENH05,,half removal,3,24.9,,23
12-Dec-18,,,ENH06,,no removal,1,25.7,,
12-Dec-18,,,ENH06,,no removal,2,15.5,,
12-Dec-18,,,ENH06,,no removal,3,25.7,,22.3
12-Dec-18,,,ENH07,,no removal,1,23.8,,
12-Dec-18,,,ENH07,,no removal,2,20.5,,
12-Dec-18,,,ENH07,,no removal,3,18,,20.8
12-Dec-18,,,ENH08,,half removal,1,28.1,,
12-Dec-18,,,ENH08,,half removal,2,14.6,,
12-Dec-18,,,ENH08,,half removal,3,18.1,,20.3
12-Dec-18,,,ENH09,,full removal,1,25.8,,
12-Dec-18,,,ENH09,,full removal,2,18.5,,
12-Dec-18,,,ENH09,,full removal,3,27.5,,23.9
12-Dec-18,,,ENH10,,half removal,1,27.3,,
12-Dec-18,,,ENH10,,half removal,2,27,,
12-Dec-18,,,ENH10,,half removal,3,23.5,,25.9
12-Dec-18,,,ENH11,,no removal,1,26.3,,
12-Dec-18,,,ENH11,,no removal,2,23.9,,
12-Dec-18,,,ENH11,,no removal,3,21.3,,23.8
12-Dec-18,,,ENH12,,full removal,1,27.8,,
12-Dec-18,,,ENH12,,full removal,2,15.7,,
12-Dec-18,,,ENH12,,full removal,3,25.8,,23.1
12-Dec-18,,,ENH13,,full removal,1,24,,
12-Dec-18,,,ENH13,,full removal,2,30.2,,
12-Dec-18,,,ENH13,,full removal,3,26.5,,26.9
12-Dec-18,,,ENH14,,no removal,1,18.6,,
12-Dec-18,,,ENH14,,no removal,2,30.8,,
12-Dec-18,,,ENH14,,no removal,3,27.2,,25.5
12-Dec-18,,,ENH15,,half removal,1,29.7,,
12-Dec-18,,,ENH15,,half removal,2,28.5,,
12-Dec-18,,,ENH15,,half removal,3,31.1,,29.8
12-Dec-18,,,ENH16,,full removal,1,25.8,,
12-Dec-18,,,ENH16,,full removal,2,25.5,,
12-Dec-18,,,ENH16,,full removal,3,17.7,,23
12-Dec-18,,,ENH17,,half removal,1,26.7,,
12-Dec-18,,,ENH17,,half removal,2,30.3,,
12-Dec-18,,,ENH17,,half removal,3,25.7,,27.6
12-Dec-18,,,ENH18,,no removal,1,26.8,,
12-Dec-18,,,ENH18,,no removal,2,25.5,,
12-Dec-18,,,ENH18,,no removal,3,27.2,,26.5
12-Dec-18,,,ENH19,,full removal,1,17.8,,
12-Dec-18,,,ENH19,,full removal,2,19.6,,
12-Dec-18,,,ENH19,,full removal,3,19.4,,18.9
12-Dec-18,,,ENH20,,no removal,1,13.7,,
12-Dec-18,,,ENH20,,no removal,2,14,,
12-Dec-18,,,ENH20,,no removal,3,16.8,,14.8
12-Dec-18,,,ENH21,,half removal,1,26.5,,
12-Dec-18,,,ENH21,,half removal,2,19.4,,
12-Dec-18,,,ENH21,,half removal,3,19,,21.6
12-Dec-18,,,ENH22,,full removal,1,21.7,,
12-Dec-18,,,ENH22,,full removal,2,20.4,,
12-Dec-18,,,ENH22,,full removal,3,25.3,,22.5
12-Dec-18,,,ENH23,,half removal,1,27.2,,
12-Dec-18,,,ENH23,,half removal,2,25.7,,
12-Dec-18,,,ENH23,,half removal,3,23.5,,25.5
12-Dec-18,,,ENH24,,no removal,1,25.7,,
12-Dec-18,,,ENH24,,no removal,2,23.7,,
12-Dec-18,,,ENH24,,no removal,3,14.2,,21.2
12-Dec-18,,,ENH25,,no removal,1,24.6,,
12-Dec-18,,,ENH25,,no removal,2,16.7,,
12-Dec-18,,,ENH25,,no removal,3,20.4,,20.6
12-Dec-18,,,ENH26,,half removal,1,20,,
12-Dec-18,,,ENH26,,half removal,2,14.7,,
12-Dec-18,,,ENH26,,half removal,3,15.2,,16.6
12-Dec-18,,,ENH27,,full removal,1,23,"fully weeded, second reading: 19.6",
12-Dec-18,,,ENH27,,full removal,2,14,"not weeded, second reading: 22.2",
12-Dec-18,,,ENH27,,full removal,3,26.3,margin,21.1
12-Dec-18,,,ENH28,,half removal,1,24.2,,
12-Dec-18,,,ENH28,,half removal,2,24.3,,
12-Dec-18,,,ENH28,,half removal,3,19.4,,22.6
12-Dec-18,,,ENH29,,no removal,1,17.3,not weeded,
12-Dec-18,,,ENH29,,no removal,2,18.6,not weeded,
12-Dec-18,,,ENH29,,no removal,3,15.5,fully weeded,
12-Dec-18,,,ENH29,,no removal,4,20.8,fully weeded,18.05
12-Dec-18,,,ENH30,,full removal,1,21.6,fully weeded,
12-Dec-18,,,ENH30,,full removal,2,21.9,fully weeded,
12-Dec-18,,,ENH30,,full removal,3,18,not weeded,
12-Dec-18,,,ENH30,,full removal,4,23.8,not weeded,21.3
12-Dec-18,,,ENH31,,no removal,1,17,,
12-Dec-18,,,ENH31,,no removal,2,22,,
12-Dec-18,,,ENH31,,no removal,3,20.7,,20.9
12-Dec-18,,,ENH32,,half removal,1,22.9,,
12-Dec-18,,,ENH32,,half removal,2,25.1,,
12-Dec-18,,,ENH32,,half removal,3,21.2,,23.1
12-Dec-18,,,ENH33,,full removal,1,27.6,,
12-Dec-18,,,ENH33,,full removal,2,24.4,,
12-Dec-18,,,ENH33,,full removal,3,28.1,,26.7
12-Dec-18,,,ENH34,,half removal,1,25,,
12-Dec-18,,,ENH34,,half removal,2,25.4,,
12-Dec-18,,,ENH34,,half removal,3,25.7,,25.4
12-Dec-18,,,ENH35,,full removal,1,24.2,,
12-Dec-18,,,ENH35,,full removal,2,27.4,,
12-Dec-18,,,ENH35,,full removal,3,25.9,,25.8
12-Dec-18,,,ENH36,,no removal,1,26.9,,
12-Dec-18,,,ENH36,,no removal,2,15.6,,
12-Dec-18,,,ENH36,,no removal,3,18.8,,20.4
19-Apr-18,3:00-4:30 pm,sunny and still,ENH01,,no removal,1,9,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH01,,no removal,2,8.7,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH01,,no removal,3,7.6,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH02,,full removal,1,7.4,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH02,,full removal,2,14.2,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH02,,full removal,3,9.6,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH03,,full removal,1,9.9,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH03,,full removal,2,9.2,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH03,,full removal,3,7.6,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH04,,half removal,1,8,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH04,,half removal,2,7.6,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH04,,half removal,3,6.8,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH05,,half removal,1,7.3,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH05,,half removal,2,8.2,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH05,,half removal,3,10,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH06,,no removal,1,8,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH06,,no removal,2,6.1,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH06,,no removal,3,12.5,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH07,,no removal,1,10.2,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH07,,no removal,2,8.4,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH07,,no removal,3,13.5,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH08,,half removal,1,11.2,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH08,,half removal,2,9.1,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH08,,half removal,3,7.4,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH09,,full removal,1,9.8,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH09,,full removal,2,8.3,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH09,,full removal,3,7.1,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH10,,half removal,1,7.1,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH10,,half removal,2,12.7,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH10,,half removal,3,8.4,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH11,,no removal,1,9.3,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH11,,no removal,2,7.4,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH11,,no removal,3,8.8,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH12,,full removal,1,9.3,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH12,,full removal,2,11.8,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH12,,full removal,3,12.7,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH13,,full removal,1,11.7,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH13,,full removal,2,10,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH13,,full removal,3,10.1,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH14,,no removal,1,10.4,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH14,,no removal,2,11.2,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH14,,no removal,3,8.7,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH15,,half removal,1,9.7,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH15,,half removal,2,11.4,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH15,,half removal,3,11.5,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH16,,full removal,1,9.4,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH16,,full removal,2,11.1,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH16,,full removal,3,12.8,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH17,,half removal,1,10.1,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH17,,half removal,2,12.9,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH17,,half removal,3,9.9,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH18,,no removal,1,12.1,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH18,,no removal,2,9.1,,
26-Apr-18,3:00-4:30 pm,sunny and still,ENH18,,no removal,3,6.3,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH19,,full removal,1,6.7,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH19,,full removal,2,7.2,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH19,,full removal,3,6.7,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH20,,no removal,1,6.4,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH20,,no removal,2,6.7,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH20,,no removal,3,6.1,value#4 5.9,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH21,,half removal,1,6.2,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH21,,half removal,2,9.4,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH21,,half removal,3,8.9,value#4 8.3,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH22,,full removal,1,6.3,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH22,,full removal,2,12,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH22,,full removal,3,10.8,value#4 7.3 value#5 12.4,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH23,,half removal,1,8.4,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH23,,half removal,2,7.9,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH23,,half removal,3,13.8,value#4 7.1,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH24,,no removal,1,11,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH24,,no removal,2,9.2,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH24,,no removal,3,6.7,value#4 8.5,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH25,,no removal,1,9.2,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH25,,no removal,2,7.1,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH25,,no removal,3,7.1,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH26,,half removal,1,7,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH26,,half removal,2,7.5,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH26,,half removal,3,6.7,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH27,,full removal,1,9.2,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH27,,full removal,2,8,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH27,,full removal,3,8.1,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH28,,half removal,1,6.8,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH28,,half removal,2,7.4,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH28,,half removal,3,6.6,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH29,,no removal,1,7.6,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH29,,no removal,2,5.7,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH29,,no removal,3,6.6,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH29,,no removal,4,5.6,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH30,,full removal,1,7.7,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH30,,full removal,2,7.6,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH30,,full removal,3,6.3,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH30,,full removal,4,6.7,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH31,,no removal,1,6.3,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH31,,no removal,2,6.6,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH31,,no removal,3,6.4,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH32,,half removal,1,8,really rocky,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH32,,half removal,2,6.3,really rocky,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH32,,half removal,3,10,value#4 8.2; really rocky,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH33,,full removal,1,6.4,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH33,,full removal,2,6.1,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH33,,full removal,3,6.9,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH34,,half removal,1,8.4,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH34,,half removal,2,6.3,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH34,,half removal,3,8,value#4 9.5,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH35,,full removal,1,8.8,really rocky,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH35,,full removal,2,9.6,really rocky,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH35,,full removal,3,7.6,value#4: 10.8; really rocky,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH36,,no removal,1,6.8,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH36,,no removal,2,6.8,,
19-Apr-18,11:00am-5:30 pm,sunny and still,ENH36,,no removal,3,7.2,,
